id,gen,feb,mar,apr,mag,giu,lug,ago,sett,ott,nov,dic,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00041312,283.71,174.83,144,51.42,48.81,10.85,0,2.26,2.09,32.61,92.13,171.83,38.5961,-122.6014,121.9,CA
USC00041316,111.13,63.15,54.77,32.16,50.25,29.11,15.71,7,11.2,24.79,56.7,85.01,41.3111,-122.8045,970.8,CA
USC00041428,126.71,93.12,93.8,41.71,48.48,13.13,0.27,0.99,1.42,21.46,51.51,84.36,38.2486,-120.8433,200.6,CA
USC00041484,117.49,157.47,93.33,12.18,13.92,2.92,1.25,0.28,1.08,9.29,20.75,73.64,34.1819,-118.5744,240.8,CA
USC00041497,181.95,135.05,126.21,62.76,60.42,29.46,4.32,5.34,7.74,36.56,84.19,154.74,40.1703,-121.0883,1389.9,CA
USC00041606,177.45,96.7,113.71,67.33,62.18,33.4,18.88,11.33,8.58,35.81,109.38,160.59,41.1417,-123.1392,704.1,CA
USC00041614,51.79,26.25,36.65,34.81,35.9,26.14,7.09,5.12,7.66,21.34,35.64,41.7,41.5306,-120.1803,1408.5,CA
USC00041697,289.79,177.19,184.48,74.43,68.31,33.94,6.28,0.28,11.93,52.02,98.71,209.78,37.9747,-119.9161,1452.4,CA
USC00041700,192.04,125.35,137.72,54.89,61.87,24.73,9.75,5.97,9.5,35.72,79.02,133.72,40.3033,-121.2422,1380.7,CA
USC00041715,152.88,125.26,103.47,40.48,44.53,20.47,0.46,2.16,2.59,26.85,57.27,98.75,39.6911,-121.8211,56.4,CA
USC00041758,70,67.46,53.34,14.7,1.68,4.27,0.51,0.43,3.38,4.38,12.7,25.51,32.64,-117.0858,17.1,CA
USC00041806,200.7,160.68,117.78,26.78,47.33,8.82,0,1.98,8.53,23.86,68.43,118.29,38.9239,-122.5672,411.2,CA
USC00041838,259.47,193.9,148.8,50.39,59.14,6.13,0.08,4.7,2.31,29.42,101.62,177.77,38.8,-123.0175,100.6,CA
USC00041864,58.8,57.37,55.41,5.55,9.88,2.32,0,0.05,3.16,9.13,9.52,25.29,36.1356,-120.3606,204.2,CA
USC00041912,264.88,181.55,166.04,76.73,72.18,27.47,1.65,2.3,7.57,44.52,118.89,210.49,39.0911,-120.9481,725.4,CA
USC00041948,131.23,86.99,66.35,17.97,32.61,11.78,0,0.33,2.85,17.67,43.24,60.95,39.1875,-122.0269,15.2,CA
USC00041967,110.77,91.82,62.03,13.03,25.7,5.32,0,1.08,0.62,14.33,47.41,66.9,37.9833,-122.0692,12.2,CA
USC00042012,42.62,43.89,43.2,8.05,10.2,2.1,0.08,0,1.98,13.56,17.23,26.91,36.0975,-119.5817,61,CA
USC00042081,260.23,147.54,143.98,64.37,66.94,15.27,1.12,2.83,3.66,40.43,89.99,188.71,39.8158,-123.2444,430.7,CA
USC00042147,292.08,177.49,203.04,181.35,95.09,48.46,10.93,16.73,28.51,96.12,213.13,294.78,41.7958,-124.2147,13.1,CA
USC00042214,113.68,121.1,75.81,6.07,13.6,2.96,0.58,0.05,0.45,7.97,26.8,54.27,34.0053,-118.4136,20.7,CA
USC00042239,196.34,199.23,184.04,54.43,28.21,10.75,2.01,19.58,14.14,24.39,69.98,94.79,32.9897,-116.5872,1414.3,CA
USC00042294,125.71,110.3,68.3,18.03,27.07,7.61,0,0.41,1.59,14.78,40.55,78.29,38.535,-121.7761,18.3,CA
USC00042319,10.91,14.25,8.95,0.46,1.26,1.73,1.75,0.1,7.05,1.7,0.36,6.9,36.4622,-116.8669,-59.1,CA
USC00042331,22.37,25.31,28.78,9.15,15.16,6.32,14.16,5.82,7.59,7.18,5.68,12.04,37.3739,-117.9803,1592.6,CA
USC00042402,392.76,269.77,235.46,112.9,110.94,39.41,0.3,5.93,13.68,62.78,135.05,258.57,39.8717,-121.6108,826,CA
USC00042456,269.8,164.4,193.51,79.84,89.45,27.84,0.2,4.45,6.43,60.01,122.2,207.08,39.3575,-121.2011,499.9,CA
USC00042467,182.56,139.17,141.95,51.4,54.34,26.25,6.67,11.41,23.63,38.21,76.81,154.97,39.3239,-120.2331,1809.6,CA
USC00042500,336.49,229.87,231.25,111.32,119.9,36.34,3.56,5.57,17.02,63.07,145.16,265.49,39.5633,-120.8239,888.5,CA
USC00042506,71.31,41.39,65.11,23.24,35.99,20.6,20.44,9.12,18.29,19.81,33.59,61.02,39.9717,-120.0828,1338.1,CA
USC00042574,325.74,231.98,222.91,98.35,105.65,40.36,4.93,9.32,14.38,44.45,160.47,269.46,41.1833,-122.2736,661.4,CA
USC00042598,18.66,17.78,16.84,1.03,3.26,1.02,3.03,14.98,12.57,3.92,2.3,11.11,33.8089,-115.4508,296.6,CA
USC00042640,166.69,131.13,82.58,18.95,29.9,11.82,1.6,1.88,1.17,21.08,46.3,77.7,39.3592,-122.5178,367.3,CA
USC00042671,264.36,201.96,199.29,93.09,85.24,54.47,17.14,21.53,20.35,61.1,108.74,189.25,38.7833,-120.0333,2240.3,CA
USC00042706,81.06,78.2,78.2,13.87,5.77,4.73,2.29,0.33,3.05,6.8,19.76,28.57,32.8139,-116.975,123.4,CA
USC00042709,106.62,97.1,104.98,25.31,10.16,4.71,2.58,0.86,3.92,11.7,19.98,42.83,32.8839,-116.8164,182.9,CA
USC00042713,16.85,13.72,9.5,0.43,0.84,0.25,1.19,3.43,10.04,4.87,3.41,11.03,32.7669,-115.5617,-9.1,CA
USC00042728,183.61,129.14,123.47,56.54,49.61,19.07,0.18,1.06,2.96,30.12,67.14,120.19,38.3306,-120.6706,217.9,CA
USC00042771,34.2,33.79,25.8,2.04,7.55,2.58,1.6,4.15,8.7,3.03,4.94,19.55,34.5892,-117.6303,899.2,CA
USC00042805,91.32,88.03,52.84,8.98,6.98,1.14,1.96,0.38,2.24,5.03,15.44,39.12,33.6692,-117.3319,391.7,CA
USC00042863,118.81,93.87,83.71,22.16,8.75,6.36,3.66,0.77,6.02,5.77,20.43,39.62,33.1211,-117.0883,182.9,CA
USC00042934,155.78,118.06,81.78,20.57,32.72,10.3,0,1.1,1.58,24.06,60.59,115.31,38.2736,-122.0678,12.2,CA
USC00042941,111.26,143.34,71,9.9,16.5,4.76,1.1,1.86,6.35,12.96,14.16,58.04,34.705,-118.4242,932.7,CA
USC00043083,68.3,48.02,42.96,8.2,14.26,3.57,0,0,4.84,12.65,11.96,24.84,36.3642,-120.1561,86.9,CA
USC00043157,74.33,39.98,46.45,45.46,41.23,27.21,8.08,4.61,6.04,27.3,53.79,78.49,41.52,-120.09,1442.3,CA
USC00043161,239.55,158.39,149.74,76.18,70.6,18.53,2.01,4.7,4.94,37.83,90.8,190.36,39.5092,-123.7567,37.5,CA
USC00043244,93.76,85.59,70.9,21.46,22.08,4.92,0,1.15,0.48,13.92,42.05,68.26,37.5422,-122.0158,11.6,CA
USC00043261,90.46,67.04,75.33,19.15,17.36,8.03,0.26,0.08,1.76,20.64,28.79,57.45,36.9969,-119.7072,125,CA
USC00043417,136.78,115.86,76.47,18.89,21.21,3.7,0.26,0.31,2.73,17.08,43.87,87.09,37.0067,-121.5633,59.1,CA
USC00043463,106.74,104.51,93.64,29.28,26.51,5.94,1.99,1.27,4.05,17.54,44.95,67.35,35.7269,-118.7006,957.1,CA
USC00043489,24.46,18.21,16.41,1.36,6.82,1.68,22.19,5.08,2.82,4.75,3.05,13.86,32.8833,-114.8667,147.8,CA
USC00043551,234.98,190.37,187.68,62.56,44.28,22.52,8.85,0.32,12.98,45.99,74.48,160.83,36.7394,-118.9631,2011.7,CA
USC00043573,296.28,199.14,183.76,92.61,88.63,27.08,0,2.46,7.86,50.39,122.56,234.46,39.2042,-121.0681,731.5,CA
USC00043578,253.1,184.27,136.06,49.63,56.1,12.29,0.05,3.84,2.61,36.6,105.37,160.59,38.4306,-122.8647,61,CA
USC00043647,262.85,190.65,175.18,103.31,79.53,22.68,3.57,6.27,6.99,52.48,137.96,253.56,40.4864,-123.9089,125.9,CA
USC00043710,33.37,42.66,27.68,5.39,5.59,1.81,6.52,0.68,10.08,3.11,3.55,21.74,36.1389,-117.9528,1165.9,CA
USC00043714,161.63,124.24,90.2,34.53,37.39,8.17,3.03,6.55,4.41,23.55,68.35,114.22,37.4725,-122.4433,8.2,CA
USC00043747,49.75,42.55,52.94,13.27,9.87,2.29,0.03,0.03,3.13,12.18,14.77,32.4,36.3158,-119.6369,72.2,CA
USC00043824,87.32,63.97,67.22,37.93,42.36,20.28,6.35,3.33,9.87,29.09,46.67,74.79,40.9317,-121.5433,919,CA
USC00043855,23.96,19.78,18.5,2.23,1.72,0.2,3.36,8.94,6.1,4.01,3.95,12.37,33.7044,-115.6289,417.6,CA
USC00043875,254.82,201.91,153.29,46.74,58.34,8.66,0,2.72,1.81,30.81,105.05,166.45,38.6175,-122.8731,32.9,CA
USC00043896,90.68,85.67,55.42,13.28,20.37,4.01,1.94,8.58,11.11,8.34,11.22,24.76,33.7381,-116.8939,552,CA
USC00043914,195.72,166.8,154.68,32.04,19.58,7.18,2.19,10.89,10.5,14.87,44.69,68.22,33.2372,-116.7614,823,CA
USC00043939,191.06,125.14,142.05,62.5,67.91,28.81,11.13,1.25,11.4,41.53,80.69,127,37.9614,-119.7831,1179.6,CA
USC00044025,91.04,82.45,64.37,15.76,18.94,1.66,0.1,0.13,1.98,9.43,33.74,48.5,36.8483,-121.4214,83.8,CA
USC00044176,247.91,209.35,172.62,72.81,66.4,26.21,9.33,1.8,13.81,48.67,86.43,160.34,37.2275,-119.2206,2139.7,CA
USC00044211,173.17,164.09,121.83,32.29,21.11,7.31,14.39,20.81,17.71,23.55,44.3,79,33.7572,-116.7067,1639.8,CA
USC00044223,17.07,11.13,10.84,1.12,2.55,0.03,2.69,2.84,9.89,1.8,3.81,11.51,32.8489,-115.5667,-19.5,CA
USC00044232,31.41,37.21,27.77,4.17,2.65,6.98,2.45,0.23,5.81,5.09,7.67,13.8,36.7981,-118.2036,1204,CA
USC00044259,24.47,21.33,16.06,1.2,0.93,0,2.06,0.39,0.01,0.63,2.66,6.85,33.7086,-116.2153,-6.4,CA
USC00044278,28.07,38.15,17.89,1.89,2.21,0.28,0.77,1.37,6.78,1.52,3.4,16.21,35.6514,-117.8214,740.7,CA
USC00044297,19.76,16.74,21.98,1.35,3.15,0.13,3.34,5.73,9.39,4.23,3.12,13.17,34.1472,-115.1219,281,CA
USC00044374,52.36,38.99,50.65,48.09,74.33,46.82,11.16,6.73,11.46,26.16,50.19,57.23,41.2683,-120.2947,1645.9,CA
USC00044500,271.32,210.68,141.14,48.17,63.29,12.49,0.03,3.23,0.88,41.85,140.68,194.87,37.9569,-122.5439,44.2,CA
USC00044523,78.49,80.28,56.06,10.11,8.04,4.28,2.09,1.25,3.26,8.49,27.34,43.56,35.7831,-118.4389,823.9,CA
USC00044555,64.9,76.96,67.2,9.52,12.91,1.69,0,0,3.06,10.88,23.61,44.6,36.2069,-121.1378,97.5,CA
USC00044577,346.47,221.94,215.06,166.32,107.75,45.45,9.47,15.67,26.99,99.34,240.32,340.14,41.5786,-124.0747,8.5,CA
USC00044647,84.34,96.05,59.93,14.5,7.53,4.55,2.4,0,2.81,6.71,20.55,62.38,33.5453,-117.7814,13.4,CA
USC00044671,273.1,305.86,210.35,35.35,40.87,16.44,2.66,2.76,6.96,44.46,61.2,129.12,34.2467,-117.1883,1586.5,CA
USC00044712,167.16,137.67,94.58,21.57,32.18,5.5,0,0.54,1.17,20.58,57.64,107.86,38.4919,-122.0039,57.9,CA
USC00044713,346.36,265.94,273.21,132.7,136.36,46.9,2.26,4.68,19.12,70.07,172.93,306.81,39.3183,-120.6392,1571.5,CA
USC00044735,90.71,85.15,82.82,16.98,7.1,4.43,2.56,0.47,4.96,7.5,21.56,33.16,32.7675,-117.0233,161.5,CA
USC00044838,51.11,36.3,60.64,30.83,38.84,40.86,18.25,13.16,11.73,21.42,23.12,35.29,41.7019,-121.5011,1453.9,CA
USC00044881,64.59,73.04,65.39,11.67,16.21,13.7,12.07,6.74,9.43,21.64,40.45,57.89,37.9567,-119.1194,2071.7,CA
USC00044890,80.29,63.08,79.93,22.68,19.59,6.72,0.1,0.05,1.5,15.01,32.44,50.17,36.3817,-119.0264,156.4,CA
USC00044957,67.93,53.61,68.28,18.64,12.29,5.23,0,0,2.35,15.73,27.91,44.16,36.2033,-119.0545,132.6,CA
USC00044997,85.57,73.74,58.94,18.9,22.11,3.84,0.05,1.61,0.7,14.44,37.83,58.65,37.6922,-121.7692,146.3,CA
USC00045026,229.97,206.36,177.98,52.31,35.94,33.21,13.78,2.82,19.3,40.26,78.92,157.96,36.6044,-118.7325,2052.8,CA
USC00045032,106,85.33,67.25,23.73,31.01,4.51,0,0.63,0.59,23.42,40.89,71.68,38.1061,-121.2878,12.2,CA
USC00045064,105.51,115.02,84.75,13.45,12.15,2.33,0.55,0.1,1.77,9.29,28.09,59.83,34.6539,-120.4514,29,CA
USC00045118,63.86,61.23,39.56,11.34,23.93,2.67,1.4,0.54,0.45,9.21,19.58,32.41,37.0564,-120.8667,36.6,CA
USC00045120,55.17,56.23,35,7.49,16.78,1.52,0.63,0.14,0.23,7.01,17.91,27.22,36.9897,-120.9297,124.1,CA
USC00045123,149.71,135.7,99.02,15.99,26.64,4.53,0.03,2.08,2.51,16.68,44.42,89.14,37.2319,-121.9592,111.3,CA
USC00045233,71.08,56.2,63.51,20.05,21.4,5.04,0.23,0.08,2.99,14.55,21.91,44.72,36.9539,-120.0378,82.3,CA
USC00045311,196.73,118.44,135.62,86.78,103.2,46.52,12.87,10.49,16.49,55.77,95.28,144.59,40.5411,-121.5767,1752.6,CA
USC00045360,182.16,145.56,112.1,28.27,40.45,6.56,0,1.72,1.1,24.25,60.27,120.6,38.4917,-122.1242,146.3,CA
USC00045378,122.47,99.95,70.33,15.01,25.08,6.68,0,1.78,0.86,15.98,54.42,79.17,38.0131,-122.1142,12.2,CA
USC00045385,136.45,99.34,90.86,36.13,35.64,9.64,0,0.76,2.06,23.98,43.66,82.46,39.1458,-121.5853,17.4,CA
USC00045449,250.53,166.26,162.43,79.27,99.06,36.69,3.46,9.07,8.99,33.86,116,163.03,41.2514,-122.1383,999.7,CA
USC00045502,22.69,16.9,13.44,5.69,0.05,0,7.98,1.89,10.67,1.98,1.56,6.52,33.5714,-116.0767,-54.9,CA
USC00045532,79.12,60.97,54.68,14.49,21.47,4.58,0.51,0.28,0.74,13.47,23.07,42.79,37.2858,-120.5117,46.6,CA
USC00045679,285.51,183.52,201.23,112.69,120.15,51.53,5.85,5.16,15.14,67.29,111.76,226.65,40.3458,-121.6092,1485.9,CA
USC00045721,41.73,54.05,56.91,7.15,4.59,5.59,14.74,15.18,32.8,16.1,9.18,23.6,34.9436,-115.5469,1325.9,CA
USC00045756,38.36,47.63,28.79,2.85,3.74,1.91,0.38,7.98,5.39,5.41,8.17,19.97,35.0492,-118.1619,833.6,CA
USC00045790,128.4,109.07,88.07,19.93,15.39,4.07,0.84,0.25,2.97,6.52,21.44,58.25,34.0192,-118.1053,75,CA
USC00045795,136.88,117.63,79.34,27.02,21.51,7.56,1.47,2.17,1.41,12.25,47.5,80.53,36.5903,-121.91,117.3,CA
USC00045802,114.65,104.41,70.9,20.65,22.6,3.68,0.32,1.11,1.76,7.28,41.27,61.55,36.5928,-121.8556,37.2,CA
USC00045866,110.95,110.06,116.13,16,20.04,3.19,0.54,0.41,3.98,13.5,29.21,60.05,35.3672,-120.8456,35.1,CA
USC00045915,144.46,117.96,83,30.78,43.13,7.19,0,1.6,1.21,24.76,71.99,99.81,37.8792,-121.9303,661.4,CA
USC00045933,145.64,87.78,105.29,36.04,48.77,9.97,0.28,1.03,7.2,28.15,81.3,94.93,37.3436,-121.6425,1282,CA
USC00046006,236.31,283.34,186.26,32.17,36.74,11.83,5.29,0.59,6.08,37.74,46.02,99.07,34.2308,-118.0711,1740.4,CA
USC00046074,150.72,122.52,94.55,28.73,43.18,8.96,0,2.49,1.48,31.04,69.45,112.29,38.2778,-122.2647,10.7,CA
USC00046136,353.64,236.07,219.8,103.45,97.62,31.47,0.52,4.8,11.19,51.99,140.7,273.95,39.2467,-121.0008,847.6,CA
USC00046144,91.89,83.01,59.43,17.65,22.13,5.58,0,1.51,1,13.21,39.44,64.96,37.5147,-122.0325,3,CA
USC00046154,42.15,66.96,58.89,4.92,9.51,0.59,4.51,0,9.83,5.13,13.82,26.62,34.9456,-119.6828,658.4,CA
USC00046161,132.67,145.96,81.52,12.04,14.54,0.03,0.03,0,2.21,7.24,25.72,66.67,34.3933,-118.5939,538,CA
USC00046168,78.58,73.84,55.16,10.27,24.67,1.22,0.13,0,0.69,10.59,21.15,41.93,37.2811,-121.0178,27.4,CA
USC00046174,176.15,129.73,119.03,47.01,60.25,13.96,1.64,0.34,3.1,24.74,63.97,102.85,38.0047,-120.4864,292.6,CA
USC00046175,85.38,93.49,53.77,9.07,4.17,4.29,1.38,0,2.67,5.34,18.69,45.05,33.6025,-117.8803,3,CA
USC00046263,105.38,126.84,74.7,9.19,15.22,3.49,0,2.83,1.05,7.5,13.98,55.05,34.2447,-118.525,289,CA
USC00046336,142.93,109.52,72.96,24.32,31.99,4.78,0,3.74,0.44,25.02,67.72,98.55,37.7983,-122.2642,9.1,CA
USC00046370,368.1,245.31,193.13,81.23,80.16,17.41,0.08,5.21,3.98,52.45,144.09,229.6,38.3858,-122.9661,263.7,CA
USC00046377,74.52,67.85,51.66,16.78,5.59,5.61,0.48,0.67,4.32,3.05,16.32,25.14,33.2097,-117.395,3,CA
USC00046399,162.62,179.01,111.71,11.58,21.49,6.12,1.98,0.25,3.25,16.82,25.54,72.88,34.4478,-119.2275,227.1,CA
USC00046498,271.96,197.86,188.97,146.79,97.19,29.3,7.22,10.04,21.03,89.16,186.53,267.61,41.3619,-124.0192,48.8,CA
USC00046506,159.79,121.6,86.1,24.35,45.5,14.77,0.8,2.21,2.09,20.47,46.94,74.08,39.7458,-122.1997,77.4,CA
USC00046508,262.2,143.74,139.44,105.13,71.27,22.66,5.15,4.22,13.57,68.53,153.29,222.01,41.3089,-123.5317,122.8,CA
USC00046521,178.9,131.6,119.3,45.25,48.42,13.51,0.2,6.48,3.23,38.88,67.48,114.46,39.5178,-121.5531,52.1,CA
USC00046569,105.61,120,68.95,7.92,10.64,4.18,1.53,0.21,1.18,7.93,23.78,70.46,34.1981,-119.1753,14.9,CA
USC00046572,105.04,117.12,88.9,12.52,12.42,2.47,0.85,0,2.67,5.43,21.79,56.62,34.2067,-119.1375,15.8,CA
USC00046599,180.79,142.13,100.66,42.17,45.41,8.71,0.96,4.23,2.76,27.75,76.39,126.94,37.5917,-122.4717,144.8,CA
USC00046610,100.45,95.86,70.32,15.77,19.12,4.37,0.1,0.13,1.18,10.87,36.9,57.6,36.715,-121.3492,275.8,CA
USC00046624,48.17,57.2,33.63,3.82,3.76,1.17,0.77,2.14,4.23,5,6.84,26.64,34.5883,-118.0939,794.3,CA
USC00046635,39.72,34.44,19.57,1.24,0.63,1.68,4.91,3.44,5.43,0.41,2.65,13.45,33.8275,-116.5097,129.5,CA
USC00046646,93.38,90.02,61.04,16.55,20.23,3.4,0.13,2.02,0.91,10.83,42.22,68.37,37.4436,-122.1403,7.6,CA
USC00046657,226.73,212.24,194.43,33.36,25.82,11.9,3.6,28.01,9.62,17.13,59.89,97.25,33.3781,-116.84,1691.6,CA
USC00046685,340.78,242.02,221.94,97.1,96.58,30.87,0.46,7.04,4.73,54.45,125.8,237.31,39.7536,-121.6239,533.4,CA
USC00046699,34.46,31.53,32.38,4.83,3.09,0.18,8.95,11.6,12.79,3.1,5.71,14.85,34.2903,-114.1708,224.9,CA
USC00046719,144.02,160.6,108.51,16.19,16.97,9.62,2.65,3.81,2.49,12.64,23.98,63.96,34.1481,-118.1444,263.3,CA
USC00046730,103.89,97.61,90.43,9.22,11.34,1.57,0.11,0.38,5,10.72,26.64,54.42,35.6278,-120.6856,222.5,CA
USC00046773,41.69,45.13,32.6,5.59,2.86,0.97,5.41,5.08,3.84,2.43,4.95,25.42,34.5028,-117.8944,929.6,CA
USC00046826,148.87,140.4,95.67,34.25,34.4,7.39,0,2.84,1.27,30.96,71.79,102.71,38.2578,-122.6078,6.1,CA
USC00046926,98.25,104.13,79.43,15.62,23.05,2.75,1.86,0.38,1.26,14.87,30.54,64.15,36.4817,-121.1822,398.4,CA
USC00046943,104.92,118.08,99.4,17.37,19.31,3.97,1.86,3.81,6.03,15.18,34.2,63.84,35.1597,-120.6831,11.9,CA
USC00046960,220.81,156.39,142.34,70.72,64.83,18.08,0.95,2.49,4.96,36.2,87.49,166.04,38.6956,-120.8244,563.9,CA
USC00047050,100.48,150.33,88.85,22.38,8.24,5.14,0,0,0.44,16.27,26.41,47.26,34.0817,-117.7658,317,CA
USC00047077,61.69,51.41,65.86,15.75,10.45,5.53,0.03,0,1.64,12.72,21.78,42.83,36.0678,-119.02,119.8,CA
USC00047085,121.87,98.01,99.04,35.05,39.15,18.18,8.76,13.9,12.82,24.08,39.12,106.53,39.8053,-120.4719,1478.3,CA
USC00047109,274.12,162.7,154.51,70.1,75.3,20.12,0.81,2.57,10.3,42.13,101.51,189.22,39.3619,-123.1286,310.3,CA
USC00047150,141.05,116.33,108.8,17.56,23.51,2.54,3.65,0.46,2.61,19.51,33.64,80.44,36.1883,-120.6953,701,CA
USC00047228,105.37,92.39,98.24,25.09,11.24,5.08,2.39,2.45,5.22,8.62,24.83,38.44,33.0114,-116.9081,448.1,CA
USC00047253,38.89,54.81,30.38,4.8,3.2,1.04,1.14,2.74,9.32,11.53,8.02,20.55,35.3692,-117.6525,1088.1,CA
USC00047306,99.14,102.84,68.73,11.38,11.9,5.82,2.03,1.86,6,8.43,17.21,33.88,34.0528,-117.1894,401.7,CA
USC00047339,118.99,103.01,73.38,17.36,22.63,4.32,0.03,2.62,0.97,16.34,51.93,79.73,37.4767,-122.2386,9.4,CA
USC00047404,399.8,229.28,230.93,110.85,86.95,25.05,0.78,2.64,7.85,54.99,169.3,308.22,40.0261,-123.7931,153.3,CA
USC00047414,142.77,119.12,73.73,22.6,31.81,9.17,0,3.43,0.63,23.37,67.66,94.49,37.9192,-122.3772,6.1,CA
USC00047470,77.71,83.38,53.24,8.5,7.2,4.75,0.94,0.51,1.67,4.31,10.2,27.69,33.9511,-117.3881,256,CA
USC00047473,84.42,83.17,54.9,6.96,7.19,4.8,1.07,1.38,1.97,6.1,11.11,28.75,33.9669,-117.3614,300.5,CA
USC00047641,98.11,114.39,126.94,39.56,57.7,17.44,10.42,8.29,23.51,40.02,72.37,125.52,39.4317,-120.2406,1931.5,CA
USC00047643,225.91,163.13,127.54,36.37,46.31,7.26,0,2.08,0.92,32.24,84.39,148.8,38.5067,-122.4714,68.6,CA
USC00047668,99.37,83.99,69.99,18.13,21.43,3.07,0.03,0.18,0.97,9.82,39.19,55.77,36.6594,-121.6656,13.7,CA
USC00047689,251.93,159.32,179.17,79.41,78.96,29.01,4.96,0.89,12.77,49.89,120.59,153.62,38.5006,-120.2189,1127.8,CA
USC00047723,114.9,126.27,77.11,15.84,8.74,3.58,0.79,0,4.81,10.31,19.34,39.96,34.1344,-117.2539,347.5,CA
USC00047767,124.96,96.88,62.88,21.17,26.78,9.26,0,3.48,0.58,15.03,54.37,79.87,37.7281,-122.5053,2.4,CA
USC00047785,131.68,141.78,90.2,13.44,18.65,6.83,1.74,0.46,2.78,8.89,20.98,46.57,34.1061,-118.1,137.2,CA
USC00047807,165.2,147.91,96.02,41.25,38.1,11.17,1.65,5.53,2.78,24.48,74.84,124.21,37.3117,-122.3617,83.8,CA
USC00047813,105.74,89.06,61.53,10.75,16.32,4.25,1.58,9.23,10.67,11.78,15.35,33,33.7869,-116.9583,475.5,CA
